Date,Title_Bull,Title_Bear,Title_Pos,Title_Neg,Body_Bull,Body_Bear,Body_Pos,Body_Neg,Comments_Bull,Comments_Bear,Comments_Pos,Comments_Neg,Bull_Bear_Ratio,EMA_3,EMA_10
2019-04-23,6,3,1.035,1.121,30,11,1.013,0.389,1895,1032,531.996,359.55699999999996,1.8362403100775193,1.8362403100775193,1.8362403100775193
2019-04-24,4,2,3.483,1.249,45,25,0.623,0.884,1487,806,435.778,305.913,1.8449131513647643,1.842022204269016,1.841010372785504
2019-04-25,5,0,2.991,1.651,6,0,0.341,0.203,1502,753,333.915,221.972,1.99468791500664,1.929259753261944,1.9027877236451636
2019-04-28,7,3,1.149,1.156,3,0,0.349,0.27399999999999997,1330,798,383.92199999999997,285.132,1.6666666666666667,1.7892101070777962,1.8249963556158617
2019-04-29,8,7,2.5140000000000002,1.4140000000000001,0,0,0.07400000000000001,0.271,1609,904,519.6759999999999,359.17699999999996,1.779867256637168,1.784387990721343,1.8120410186980158
2019-04-30,2,3,1.002,0.77,26,20,0.657,0.6679999999999999,1289,920,425.36400000000003,328.05300000000005,1.4010869565217392,1.5896954019215443,1.7053020536501955
2019-05-01,5,0,2.983,0.691,21,11,0.983,0.79,1164,760,377.665,253.10299999999998,1.5315789473684212,1.560408369705797,1.6634417636613004
2019-05-02,4,2,2.002,1.7830000000000001,6,4,0.499,0.44799999999999995,1225,845,351.365,249.081,1.4497041420118344,1.5048391887456902,1.6148154246761817
2019-05-05,7,6,3.8989999999999996,1.097,3,1,0.20600000000000002,0.287,1063,786,334.461,265.29400000000004,1.352417302798982,1.4284791049837386,1.557726775785662
2019-05-06,2,5,1.594,1.9169999999999998,3,2,0.33,0.815,1264,894,386.87,266.11400000000003,1.4138702460850112,1.4211675353296347,1.5275088248478599
2019-05-07,8,7,2.167,2.346,22,15,0.262,0.297,1470,1068,438.105,338.60900000000004,1.3764044943820224,1.3987750810402575,1.4966400992312276
2019-05-08,2,4,2.502,1.4780000000000002,3,3,0.33399999999999996,0.805,1092,882,388.566,288.459,1.2380952380952381,1.3184155405393052,1.444983309165865
2019-05-09,11,2,2.066,1.391,16,12,0.878,0.517,1405,1136,412.66,331.43300000000005,1.2367957746478873,1.2776006753102431,1.4041224976937152
2019-05-12,6,6,2.551,1.4169999999999998,19,35,1.079,0.75,1162,987,343.625,296.704,1.177304964539007,1.2274497589556093,1.3602393487646716
2019-05-13,12,5,2.815,1.886,3,2,0.518,0.506,988,807,273.13,224.854,1.224287484510533,1.2258685734791197,1.3342393203911627
